,book_id,title,num_of_pages,Language,Authors,Publisher,CountsOfReview,Rating,image_url,Publish Date
394,13662,The Tombs of Atuan (Earthsea Cycle #2),180,eng,Ursula K. Le Guin,Gallery / Saga Press,1979,4.09,https://images.gr-assets.com/books/1417900879m/13662.jpg,2001-09-01
66,2095,The Universe in a Nutshell,216,eng,Stephen Hawking,Bantam,658,4.15,https://images.gr-assets.com/books/1159814395m/2095.jpg,2001-11-06
168,5358,The Firm,76,eng,Robin Waterfield,Addison Wesley Publishing Company,3388,4.02,https://images.gr-assets.com/books/1418465200m/5358.jpg,2000-02-15
787,40159,The King of Attolia (The Queen's Thief #3),387,eng,Megan Whalen Turner,Greenwillow Books,2331,4.37,https://images.gr-assets.com/books/1293505327m/40159.jpg,2006-01-24
512,19668,Without Remorse (John Clark #1; Jack Ryan Universe Publication Order #6),750,eng,Tom Clancy,Berkley Books,1013,4.18,https://images.gr-assets.com/books/1310082706m/19668.jpg,1994-08-01
617,27000,Lost in a Good Book (Thursday Next #2),399,eng,Jasper Fforde,Penguin Books,2165,4.14,https://images.gr-assets.com/books/1419889476m/27000.jpg,2004-02-04
673,30263,Every Which Way But Dead (The Hollows #3),501,eng,Kim Harrison,HarperTorch,1217,4.29,https://images.gr-assets.com/books/1347819379m/30263.jpg,2005-06-28
857,45252,Pandora's Star,768,eng,Peter F. Hamilton,Del Rey,1530,4.24,https://images.gr-assets.com/books/1440699949m/45252.jpg,2005-03-02
670,30259,For a Few Demons More (The Hollows #5),456,eng,Kim Harrison,Harper Voyager,1107,4.33,https://images.gr-assets.com/books/1319592584m/30259.jpg,2007-03-20
110,3869,A Brief History of Time,212,eng,Stephen Hawking,Bantam Books,5996,4.17,https://images.gr-assets.com/books/1333578746m/3869.jpg,1998-09-01
86,2879,Bleach Volume 15,208,eng,Tite Kubo,VIZ Media LLC,76,4.42,https://images.gr-assets.com/books/1417981626m/2879.jpg,2006-10-03
294,10210,Jane Eyre,532,eng,Charlotte Brontë,Penguin,28553,4.12,https://images.gr-assets.com/books/1327867269m/10210.jpg,2003-02-04
139,4978,Wolves of the Calla (The Dark Tower #5),931,eng,Stephen King,Pocket Books,2828,4.18,https://images.gr-assets.com/books/1419360231m/4978.jpg,2006-02-01
705,32552,Essential Tales and Poems,688,en-US,Edgar Allan Poe,Barnes  Noble Classics,109,4.36,https://images.gr-assets.com/books/1328753072m/32552.jpg,2004-10-25
473,17303,Piercing the Darkness (Darkness #2),448,eng,Frank E. Peretti,Crossway Books,597,4.32,https://images.gr-assets.com/books/1308796365m/17303.jpg,2003-06-26
